"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"8","1","Squat","128.0","128.0","2025-07-04"," ","","5","86.0","5","96.0","5","110.0"
"8","1","Military Press","64.0","65.0","2025-07-05"," ","","5","40.0","5","48.0","5","56.0"
"8","2","Dead Lift","141.3","149.0","2025-07-08"," ","","3","100.0","3","116.0","5","128.0"
"8","2","Bench Press","94.0","95.0","2025-07-09"," ","","3","66.0","3","76.0","3","86.0"
"8","2","Squat","128.0","131.0","2025-07-11"," ","","3","90.0","3","100.0","4","116.0"
"8","2","Military Press","64.0","64.0","2025-07-18"," ","","3","46.0","3","50.0","3","58.0"
"8","3","Dead Lift","141.27","168.0","2025-07-20"," ","","5","106.0","3","120.0","7","136.0"
"8","3","Bench Press","93.925","99.0","2025-07-22"," ","","5","70.0","3","80.0","3","90.0"
"8","3","Squat","127.925","134.0","2025-07-25"," ","","5","96.0","3","110.0","2","126.0"
"8","3","Military Press","63.9965","66.0","2025-07-26"," ","","5","48.0","3","56.0","1","66.0"
"8","4","Dead Lift","141.27","105.0","2025-07-26"," ","","5","60.0","5","70.0","5","90.0"
"8","4","Bench Press","93.925","70.0","2025-07-29"," ","","5","40.0","5","50.0","5","60.0"
"8","4","Squat","127.925","93.0","2025-07-30"," ","","5","60.0","5","70.0","5","80.0"
"8","4","Military Press","51.0","0.0","2025-08-04"," ","","5","20.0","5","26.0","5","31.0"
"9","1","Dead Lift","136.0","135.0","2025-08-09"," ","","5","90.0","5","100.0","5","116.0"
"9","1","Bench Press","85.0","89.0","2025-08-12"," ","","5","56.0","5","66.0","5","76.0"
"9","1","Squat","119.08501","117.0","2025-08-13"," ","","5","80.0","5","90.0","5","100.0"
"9","1","Military Press","50.4815","54.0","2025-08-15"," ","","5","30.0","5","36.0","5","46.0"
"9","2","Dead Lift","136.0","151.0","2025-08-19"," ","","3","96.0","3","110.0","6","126.0"
"9","2","Bench Press","85.0","86.0","2025-08-20"," ","","3","60.0","3","68.0","3","78.0"
"9","2","Squat","119.08501","126.0","2025-08-21"," ","","3","88.0","3","98.0","5","108.0"
"9","2","Military Press","50.4815","51.0","2025-08-23"," ","","3","36.0","3","40.0","3","46.0"
"9","3","Dead Lift","136.0","152.0","2025-08-26"," ","","5","100.0","3","116.0","5","130.0"
"9","3","Bench Press","85.0","101.0","2025-08-27"," ","","5","66.0","3","70.0","8","80.0"
"9","3","Squat","119.08501","128.0","2025-08-28"," ","","5","90.0","3","100.0","3","116.0"
"9","3","Military Press","50.4815","57.0","2025-08-29"," ","","5","40.0","3","46.0","4","50.0"
"9","4","Dead Lift","136.0","93.0","2025-08-31"," ","","5","60.0","5","70.0","5","80.0"
"9","4","Bench Press","85.0","70.0","2025-09-02"," ","","5","40.0","5","50.0","5","60.0"
"9","4","Squat","119.08501","93.0","2025-09-03"," ","","5","60.0","5","70.0","5","80.0"
"9","4","Military Press","50.4815","35.0","2025-09-05"," ","","5","20.0","5","26.0","5","30.0"
"10","1","Dead Lift","140.0","160.0","2025-09-07"," ","","5","90.0","5","106.0","10","120.0"
"10","1","Bench Press","87.0","89.0","2025-09-09"," ","","5","56.0","5","66.0","5","76.0"
"10","1","Squat","123.08501","124.0","2025-09-10"," ","","5","80.0","5","96.0","5","106.0"
"10","1","Military Press","52.4815","54.0","2025-09-11"," ","","5","36.0","5","40.0","5","46.0"
"10","2","Dead Lift","140.0","152.0","2025-09-14"," ","","3","100.0","3","116.0","5","130.0"
"10","2","Bench Press","87.0","94.0","2025-09-16"," ","","3","60.0","3","70.0","6","78.0"
"10","2","Squat","123.08501","132.0","2025-09-18"," ","","3","86.0","3","100.0","6","110.0"
"10","2","Military Press","52.4815","55.0","2025-09-21"," ","","3","40.0","3","46.0","3","50.0"
"10","3","Dead Lift","140.0","177.0","2025-09-24"," ","","5","106.0","3","120.0","9","136.0"
"10","3","Bench Press","87.0","95.0","2025-10-08"," ","","5","66.0","3","76.0","3","86.0"
"10","3","Squat","123.08501","128.0","2025-10-11"," ","","5","90.0","3","106.0","3","116.0"
"10","3","Military Press","52.4815","58.0","2025-10-14"," ","","5","40.0","3","46.0","5","50.0"
"11","1","Dead Lift","135.52","139.0","2025-10-17"," ","","5","90.0","5","100.0","6","116.0"
"11","1","Bench Press","83.76","82.0","2025-10-24"," ","","5","56.0","5","66.0","5","70.0"
"11","1","Squat","119.6","117.0","2025-10-25"," ","","5","80.0","5","90.0","5","100.0"
"11","1","Military Press","49.392002","54.0","2025-10-28"," ","","5","36.0","5","40.0","5","46.0"
"11","2","Squat","119.6","117.0","2025-10-30"," ","","3","86.0","3","96.0","3","106.0"
"11","2","Bench Press","83.76","94.0","2025-11-05"," ","","3","60.0","3","66.0","7","76.0"
"11","3","Squat","119.6","124.0","2025-11-08"," ","","5","90.0","3","100.0","2","116.0"
"11","2","Military Press","49.392002","54.0","2025-11-12"," ","","3","36.0","3","40.0","5","46.0"
"11","2","Dead Lift","135.52","132.0","2025-11-13"," ","","3","96.0","3","106.0","3","120.0"
"11","3","Bench Press","83.76","93.0","2025-11-17"," ","","5","66.0","3","70.0","5","80.0"
"12","1","Squat","123.6","124.0","2025-11-22"," ","","5","80.0","5","96.0","5","106.0"
"11","3","Military Press","49.392002","55.0","2025-11-29"," ","","5","40.0","3","46.0","3","50.0"
"12","1","Bench Press","85.76","89.0","2025-12-02"," ","","5","56.0","5","60.0","8","70.0"
"11","3","Dead Lift","135.52","139.0","2025-12-09"," ","","5","90.0","3","100.0","3","110.0","1","120.0","2","130.0"
"12","2","Bench Press","80.0","82.0","2025-12-13"," ","","3","56.0","3","66.0","5","70.0"
"12","1","Dead Lift","139.5","139.0","2025-12-26"," ","","5","95.0","3","110.0","3","120.0","2","130.0"
"1","1","Dead Lift","120.0","117.0","2026-01-05"," ","","5","80.0","5","90.0","5","100.0"
"1","1","Squat","104.0","105.0","2026-01-07"," ","","5","70.0","5","80.0","5","90.0"
"1","1","Military Press","46.0","47.0","2026-01-10"," ","","5","30.0","5","36.0","5","40.0"
"1","1","Bench Press","70.0","70.0","2026-01-14"," ","","5","46.0","5","56.0","5","60.0"
"1","2","Squat","104.0","106.0","2026-01-18"," ","","3","76.0","3","86.0","3","96.0"
"1","2","Military Press","46.0","44.0","2026-01-20"," ","","3","36.0","3","38.0","3","40.0"
